new_name,new_name_clean,new_position,new_school,best_match_name,best_match_key,fuzzy_score,action,source
Omar Cooper Jr.,omar cooper jr,WR,,omar cooper,54920d47d8b8,88,match,RotoBaller
De'Zhaun Stribling,de'zhaun stribling,WR,,de'zhaun-ryan stribling,72fa19289f86,88,match,RotoBaller
Eli Raridon,eli raridon,TE,,elijah raridon,e57405a7ab7e,88,match,RotoBaller
Harrison Wallace III,harrison wallace iii,WR,,harrison wallace,ab2c442e6e1d,89,match,RotoBaller
Omar Cooper Jr.,omar cooper jr,WR,,omar cooper,54920d47d8b8,88,match,mystery_iono
De'Zhaun Stribling,de'zhaun stribling,WR,,de'zhaun-ryan stribling,72fa19289f86,88,match,mystery_iono
Travis Hunter,travis hunter,WR,,travis burke,7bda56f3a9ed,72,new,DynastyLeagueFootball
Mason Taylor,mason taylor,TE,,logan taylor,8fb10b86d227,75,new,DynastyLeagueFootball
Jaylin Noel,jaylin noel,WR,,julian neal,8a5a8a5c132b,73,new,DynastyLeagueFootball
Kyle Williams,kyle williams,WR,,riley williams,236ecb45b5f6,81,new,DynastyLeagueFootball
Tez Johnson,tez johnson,WR,,kaleb johnson,b9793e015315,75,new,DynastyLeagueFootball
Jalen Royals,jalen royals,WR,,jalen stroman,cd32e8b84526,72,new,DynastyLeagueFootball
Jalen Milroe,jalen milroe,QB,,jalon kilgore,abf9293d7bee,72,new,DynastyLeagueFootball
Savion Williams,savion williams,WR,,antonio williams,782bd668432c,77,new,DynastyLeagueFootball
Jaylin Lane,jaylin lane,WR,,ja'kobi lane,e24d7378bc68,70,new,DynastyLeagueFootball
Dillon Gabriel,dillon gabriel,QB,,dillon wade,d8b90cd1b7a3,72,new,DynastyLeagueFootball
Efton Chism,efton chism,WR,,chris hilton,404620d15833,70,new,DynastyLeagueFootball
De'Zhaun Stribling,de'zhaun stribling,WR,,de'zhaun-ryan stribling,72fa19289f86,88,match,FantasyCalc
Eli Raridon,eli raridon,TE,,elijah raridon,e57405a7ab7e,88,match,FantasyCalc
Matt Hibner,matt hibner,TE,,matthew hibner,631a87c3aebd,88,match,FantasyCalc
Robert Henry,robert henry,RB,,robert henry jr,3ed48b750a05,89,match,FantasyCalc
Rueben Bain Jr.,rueben bain jr,DE,,rueben bain,f35fadfc88cc,88,match,FantasyPros_IDP
Anthony Hill Jr.,anthony hill jr,LB,,anthony hill,58ec19dd1365,89,match,FantasyPros_IDP
A.J. Haulcy,aj haulcy,S,,adari haulcy,7923aaaa6184,76,match,FantasyPros_IDP
LT Overton,lt overton,DT,,labbeus overton,190456f5a438,72,match,FantasyPros_IDP
Jimmy Rolder,jimmy rolder,LB,,james rolder,69d5f1992540,75,match,FantasyPros_IDP
