"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","Bye","Ros %","GP","Yds/A","Yds/C","Pa0-9","Pa10-19","Pa20-29","Pa30-39","Pa40-49","Pa50+","LgPa","Ru0-9","Ru10-19","Ru20-29","Ru30-39","Ru40-49","Ru50+","LgRu","Rc0-9","Rc10-19","Rc20-29","Rc30-39","Rc40-49","Rc50+","LgRc","F","TO"
"*044xi*","T.J. Thorpe","(N/A)","WR","5518","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04yo0*","Clayton Thorson","NYG","QB","5519","FA","27","NYG 16<br/>@PHI 22 F","500,000","1st","0","9","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05jmf*","Nick Tiano","(N/A)","QB","5522","FA","26","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04d7d*","Lenard Tillery","(N/A)","RB","5525","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*026xk*","Jordan Todman","(N/A)","RB","5532","FA","33","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05jgr*","Noah Togiai","PHI","TE","5533","FA","25","NYG 16<br/>@PHI 22 F","500,000","1st","0","13","0%","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02zvg*","Levine Toilolo","NYG","TE","5534","FA","31","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05tev*","Travis Toivonen","MIN","WR","5535","FA","24","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*012c0*","Mike Tolbert","(N/A)","RB","5536","FA","37","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04oms*","Jalen Tolliver","(N/A)","WR","5540","FA","27","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*029vj*","Scott Tolzien","(N/A)","QB","5542","FA","35","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0619a*","Jake Tonges","CHI","TE","5543","FA","23","MIN 29<br/>@CHI 13 F","500,000","1st","0","14","0%","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04cma*","Alek Torgersen","(N/A)","QB","5545","FA","28","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*063nn*","DeAndre Torrey","(N/A)","RB","5547","FA","0","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03d0g*","Fitzgerald Toussaint","(N/A)","RB","5548","FA","32","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04cri*","Keith Towbridge","(N/A)","TE","5550","FA","27","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*047gl*","Austin Trainor","(N/A)","QB","5552","FA","31","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05rsz*","Austin Trammell","LAR","WR","1438","FA","24","LAR 16<br/>@SEA 19 F","500,000","1st","0","7","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03wec*","Ross Travis","DET","TE","5556","FA","30","DET 20<br/>@GB 16 F","500,000","1st","0","6","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0412u*","Austin Traylor","(N/A)","TE","5558","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*040u7*","Bryce Treggs","(N/A)","WR","5559","FA","28","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*050yq*","Fred Trevillion","(N/A)","WR","5561","FA","28","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04omt*","Jonah Trinnaman","(N/A)","WR","5563","FA","26","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04511*","Nick Truesdell","(N/A)","TE","5565","FA","33","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05rvk*","Carl Tucker","(N/A)","RB,TE","5568","FA","26","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*040y5*","Marcus Tucker","(N/A)","WR","5569","FA","30","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*061ak*","De'Montre Tuggle","(N/A)","RB","5570","FA","24","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02jau*","Robert Turbin","(N/A)","RB","5576","FA","33","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*061ey*","Anthony Turner","(N/A)","WR","5577","FA","0","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04orq*","De'Lance Turner","(N/A)","RB","5578","FA","27","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0415o*","Jarvis Turner","(N/A)","WR","5580","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04msw*","Malik Turner","SF/LV/HOU","WR","5582","FA","27","HOU 32<br/>@IND 31 F","500,000","1st","0","14","0%","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*040rq*","Paul Turner","(N/A)","WR","5583","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060tu*","Tre Turner","(N/A)","WR","5584","FA","0","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0500u*","Xavier Turner","(N/A)","RB","5585","FA","28","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03p4j*","Andrew Turzilli","(N/A)","WR","5586","FA","31","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03p44*","Will Tye","(N/A)","TE","5588","FA","31","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
